Questions,Answers
52. What risk factors increase the likelihood of diabetes?,"?    Having a parent, brother, or sister with diabetes?    Having a prior history of gestational diabetes or birth of at least one baby weighing more than 9 pounds?    Having high blood pressure measuring 140/90 or higher?    Having abnormal cholesterol with HDL (""good"") cholesterol is 35 or lower, or triglyceride level is 250 or higher?    Being physically inactive—exercising fewer than three times a week"
53. What chances are there that I can be a diabetic? Being overweight or obese,"?    Having a parent, brother, or sister with diabetes?    Having a prior history of gestational diabetes or birth of at least one baby weighing more than 9 pounds?    Having high blood pressure measuring 140/90 or higher?    Having abnormal cholesterol with HDL (""good"") cholesterol is 35 or lower, or triglyceride level is 250 or higher?    Being physically inactive—exercising fewer than three times a week"
54. What can be done to reduce the risks of diabetes?,"Research has shown that the following lifestyle modifications can prevent, or at least delay the onset of type 2 diabetes among people at risk of diabetes:?    Eating fewer high fat and high calorie foods?    Losing at least 5%-7% of body weight (if overweight)?    Being physically active for 150 minutes every week Reference:"
55. What should my blood sugar be?,A: The American Diabetes Association recommends a blood glucose range of 80-130 before meals and less than 180 about 2 hours after a meal. This range should place your A1c under 7.
56. What is the ideal blood sugar levels?,A: The American Diabetes Association recommends a blood glucose range of 80-130 before meals and less than 180 about 2 hours after a meal. This range should place your A1c under 7.
57. What is an A1c?,A: A Hemoglobin A1c is a 2-3 month average of your blood sugars. This result gives you a good idea of how well your diabetes is being managed/controlled. The American Diabetes Association recommends an A1c of less than 7 to keep the risk of complications low.
58. : What can I eat if I have diabetes?,"A: You can eat just about anything you want. It is about knowing proper portion sizes and how much you are putting on your plate. A dietitian can help you learn to count carbohydrates and with meal planning that is specific for you.To get to know more information , Speak to our healthcare team and make a free call now on 0800-66766."
59. Why does it matter if my blood sugar is 120 or 200?,"A: It is very important to keep your blood sugar level under control. When your blood sugar level is high, it can cause damage in your veins and arteries. This damage could lead to complications later such as heart attacks, strokes, kidney disease, neuropathies, vision problems, etc."
60. What foods have carbohydrates?,"A: Fruits, starchy vegetables, milk, yogurt, rice, cereals, bread and other grains all have carbs and give you important nutrients. Many snack foods, such as pretzels, chips and popcorn, have carbs. Sweets, including regular soda, cakes, candy and cookies, also contain carbohydrates. Be sure to check the nutrition label on each food item to determine carbohydrate content."
61. Do I need to follow a low carb diet?,"A: Carbohydrates are an important part of a healthy diet. With diabetes, watching portion sizes and getting most of your carbs from fruits, vegetables, whole grains and low fat milk and yogurt is key. Besides counting carbs, people with diabetes can also benefit from eating lower fat, high fiber foods and just enough calories to maintain a healthy weight.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766."
"62. If it is sugar free, I can eat as much as I want, right?","A: Sugar free foods can be part of a healthy meal plan in small amounts. Keep in mind though that some of these foods still have carbs (in the form of other sweeteners such as sorbitol, isomalt, and mannitol) and may affect your blood glucose levels. Many sugar free foods have calories and carbohydrates and lots of fat. Make sure you read the nutrition labels."
"63. How does Type 2 Diabetes change my risk for other diseases, including cardiovascular disease?","People with type 2 diabetes are more likely to develop heart disease or have a stroke comparedwith those who don’t have diabetes—and at a younger age.Diabetes is among the strongest risk factors for heart and vascular disease. It’s right up there with smoking and having high blood pressure or high cholesterol.Having diabetes means you have too much sugar (also called glucose) in your blood. It can affect the way your heart works, and harm blood vessels. For example, the lining of the blood vessels may become thicker, which can impair blood flow. Many people have poor blood flow in their legs and feet, which can lead to numbness and weakness. Diabetes can damage other organs as well, including the kidneys.Diabetes and heart disease share many of the same risk factors, such as having high cholesterol, being overweight, not exercising and smoking.If you have diabetes, it doesn’t mean heart disease is bound to happen. In many cases, there are steps you can take to keep your diabetes in check and stay ahead of heart disease. But it’s not always easy. If you have or develop heart disease, then you will have to manage several conditions, which can seem daunting.Things you can change to be healthier—your weight, food choices and level of physical activity—are called “modifiable risk factors.” Understanding these factors and working to improve them can help you feel more in control of your health. Here are few tips:?    Set clear goals for controlling your diabetes and keeping tabs on your health.Work with your health care team to decide 1) what lifestyle changes you can reasonably make,2) if medicine or insulin is needed, 3) what your ideal level of blood sugar (also called blood glucose) should be, and 4) how to keep your cholesterol and blood pressure within a healthy range.?    Be sure all of your health care providers are on the same page.If you have diabetes, you probably see a number of specialists, including an endocrinologist, eyeand foot doctors, in addition to your primary care provider. Most people living with diabetes have other health problems that need to be managed as well.?    Check your blood sugar level regularly, based on your provider’s advice.The higher your blood sugar level, the higher your risk of heart disease. You and your health care provider should decide on your target A1C level; it may depend on your health conditions and age.?    Lose weight if neededShedding 10 to 20 pounds can make a big difference when it comes to lowering your blood sugar, cholesterol and/or blood pressure. Plus, as you lose weight, you likely will feel better and more able to stay active and make healthy food choices. Take the time to talk with your health care provider about what weight loss plan might help you safely lose weight and keep it off.?    Get MovingOur bodies are meant to move. Regular exercise can prevent diabetes and help control it. When you exercise, your blood glucose level goes down because your muscles use glucose.The trick is to find things to do you enjoy and make them a habit. Sometimes, adding a social element can help keep it fun. Try signing up for a dance or swim class, or joining a running club or an online group that helps you check in and be accountable.Getting 30 minutes of exercise at least five days a week often is advised. Talk with your health care provider about how to safely exercise more, especially before starting a new routine. Start slowly and commit to a certain number of days a week. If you can’t find 30-minute blocks of time, try to exercise for 10 minutes a few times a day. Remember, activities like cleaning the house and gardening also count. Exercise can lower blood sugar, and in some people, it can drop a lot, so keep your monitor and a snack available while exercising.?    Make healthy food choicesA healthy diet, such as a plant-based or Mediterranean-style diet, can help control diabetes. It can also improve other heart disease risk factors such as obesity, cholesterol and blood pressure. Focus on eating nutritious foods that are low in fat and high in fiber, and aim to fill your plate with a colorful assortment of fruits and vegetables.?    Kick the habit.If you smoke, quit. Diabetes and smoking can cause your blood vessels to tighten. If you need help, ask about local smoking cessation programs and other support services. While you’re at it, try to limit alcohol, too. Alcohol is a hidden source of sugar, and drinking too much can make other conditions worse or more likely.?    Take all your medicine as prescribed.Use reminders or a pillbox if needed. Tell your health care team if you have trouble taking your medicine (for example, remembering to take doses, side effects, concerns about cost). Make sure you understand why you are taking each medicine, how it works and what to do if you miss a dose.?    Be your own championIt can be hard to learn that you have diabetes, but it’s important to advocate for yourself and commit to lifestyle changes. You also need to take charge of your health. Uncontrolled diabetes can lead to eye and kidney issues. It also affects blood flow and sensations in your feet and legs, making you more prone to having sores that don’t heal and could become infected. If you have leg pain or numbness, tell your health care provider. You will need annual eye and foot exams, as well as routine blood work and other tests. Add reminders to your calendar so you don’t miss these health visits.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766."
64. What changes can I make to prevent heart problems or stroke?,"People with type 2 diabetes are more likely to develop heart disease or have a stroke comparedwith those who don’t have diabetes—and at a younger age.Diabetes is among the strongest risk factors for heart and vascular disease. It’s right up there with smoking and having high blood pressure or high cholesterol.Having diabetes means you have too much sugar (also called glucose) in your blood. It can affect the way your heart works, and harm blood vessels. For example, the lining of the blood vessels may become thicker, which can impair blood flow. Many people have poor blood flow in their legs and feet, which can lead to numbness and weakness. Diabetes can damage other organs as well, including the kidneys.Diabetes and heart disease share many of the same risk factors, such as having high cholesterol, being overweight, not exercising and smoking.If you have diabetes, it doesn’t mean heart disease is bound to happen. In many cases, there are steps you can take to keep your diabetes in check and stay ahead of heart disease. But it’s not always easy. If you have or develop heart disease, then you will have to manage several conditions, which can seem daunting.Things you can change to be healthier—your weight, food choices and level of physical activity—are called “modifiable risk factors.” Understanding these factors and working to improve them can help you feel more in control of your health. Here are few tips:?    Set clear goals for controlling your diabetes and keeping tabs on your health.Work with your health care team to decide 1) what lifestyle changes you can reasonably make,2) if medicine or insulin is needed, 3) what your ideal level of blood sugar (also called blood glucose) should be, and 4) how to keep your cholesterol and blood pressure within a healthy range.?    Be sure all of your health care providers are on the same page.If you have diabetes, you probably see a number of specialists, including an endocrinologist, eyeand foot doctors, in addition to your primary care provider. Most people living with diabetes have other health problems that need to be managed as well.?    Check your blood sugar level regularly, based on your provider’s advice.The higher your blood sugar level, the higher your risk of heart disease. You and your health care provider should decide on your target A1C level; it may depend on your health conditions and age.?    Lose weight if neededShedding 10 to 20 pounds can make a big difference when it comes to lowering your blood sugar, cholesterol and/or blood pressure. Plus, as you lose weight, you likely will feel better and more able to stay active and make healthy food choices. Take the time to talk with your health care provider about what weight loss plan might help you safely lose weight and keep it off.?    Get MovingOur bodies are meant to move. Regular exercise can prevent diabetes and help control it. When you exercise, your blood glucose level goes down because your muscles use glucose.The trick is to find things to do you enjoy and make them a habit. Sometimes, adding a social element can help keep it fun. Try signing up for a dance or swim class, or joining a running club or an online group that helps you check in and be accountable.Getting 30 minutes of exercise at least five days a week often is advised. Talk with your health care provider about how to safely exercise more, especially before starting a new routine. Start slowly and commit to a certain number of days a week. If you can’t find 30-minute blocks of time, try to exercise for 10 minutes a few times a day. Remember, activities like cleaning the house and gardening also count. Exercise can lower blood sugar, and in some people, it can drop a lot, so keep your monitor and a snack available while exercising.?    Make healthy food choicesA healthy diet, such as a plant-based or Mediterranean-style diet, can help control diabetes. It can also improve other heart disease risk factors such as obesity, cholesterol and blood pressure. Focus on eating nutritious foods that are low in fat and high in fiber, and aim to fill your plate with a colorful assortment of fruits and vegetables.?    Kick the habit.If you smoke, quit. Diabetes and smoking can cause your blood vessels to tighten. If you need help, ask about local smoking cessation programs and other support services. While you’re at it, try to limit alcohol, too. Alcohol is a hidden source of sugar, and drinking too much can make other conditions worse or more likely.?    Take all your medicine as prescribed.Use reminders or a pillbox if needed. Tell your health care team if you have trouble taking your medicine (for example, remembering to take doses, side effects, concerns about cost). Make sure you understand why you are taking each medicine, how it works and what to do if you miss a dose.?    Be your own championIt can be hard to learn that you have diabetes, but it’s important to advocate for yourself and commit to lifestyle changes. You also need to take charge of your health. Uncontrolled diabetes can lead to eye and kidney issues. It also affects blood flow and sensations in your feet and legs, making you more prone to having sores that don’t heal and could become infected. If you have leg pain or numbness, tell your health care provider. You will need annual eye and foot exams, as well as routine blood work and other tests. Add reminders to your calendar so you don’t miss these health visits.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766."
"65. In addition to my blood pressure and cholesterol levels, what should I watch for?","People with type 2 diabetes are more likely to develop heart disease or have a stroke comparedwith those who don’t have diabetes—and at a younger age.Diabetes is among the strongest risk factors for heart and vascular disease. It’s right up there with smoking and having high blood pressure or high cholesterol.Having diabetes means you have too much sugar (also called glucose) in your blood. It can affect the way your heart works, and harm blood vessels. For example, the lining of the blood vessels may become thicker, which can impair blood flow. Many people have poor blood flow in their legs and feet, which can lead to numbness and weakness. Diabetes can damage other organs as well, including the kidneys.Diabetes and heart disease share many of the same risk factors, such as having high cholesterol, being overweight, not exercising and smoking.If you have diabetes, it doesn’t mean heart disease is bound to happen. In many cases, there are steps you can take to keep your diabetes in check and stay ahead of heart disease. But it’s not always easy. If you have or develop heart disease, then you will have to manage several conditions, which can seem daunting.Things you can change to be healthier—your weight, food choices and level of physical activity—are called “modifiable risk factors.” Understanding these factors and working to improve them can help you feel more in control of your health. Here are few tips:?    Set clear goals for controlling your diabetes and keeping tabs on your health.Work with your health care team to decide 1) what lifestyle changes you can reasonably make,2) if medicine or insulin is needed, 3) what your ideal level of blood sugar (also called blood glucose) should be, and 4) how to keep your cholesterol and blood pressure within a healthy range.?    Be sure all of your health care providers are on the same page.If you have diabetes, you probably see a number of specialists, including an endocrinologist, eyeand foot doctors, in addition to your primary care provider. Most people living with diabetes have other health problems that need to be managed as well.?    Check your blood sugar level regularly, based on your provider’s advice.The higher your blood sugar level, the higher your risk of heart disease. You and your health care provider should decide on your target A1C level; it may depend on your health conditions and age.?    Lose weight if neededShedding 10 to 20 pounds can make a big difference when it comes to lowering your blood sugar, cholesterol and/or blood pressure. Plus, as you lose weight, you likely will feel better and more able to stay active and make healthy food choices. Take the time to talk with your health care provider about what weight loss plan might help you safely lose weight and keep it off.?    Get MovingOur bodies are meant to move. Regular exercise can prevent diabetes and help control it. When you exercise, your blood glucose level goes down because your muscles use glucose.The trick is to find things to do you enjoy and make them a habit. Sometimes, adding a social element can help keep it fun. Try signing up for a dance or swim class, or joining a running club or an online group that helps you check in and be accountable.Getting 30 minutes of exercise at least five days a week often is advised. Talk with your health care provider about how to safely exercise more, especially before starting a new routine. Start slowly and commit to a certain number of days a week. If you can’t find 30-minute blocks of time, try to exercise for 10 minutes a few times a day. Remember, activities like cleaning the house and gardening also count. Exercise can lower blood sugar, and in some people, it can drop a lot, so keep your monitor and a snack available while exercising.?    Make healthy food choicesA healthy diet, such as a plant-based or Mediterranean-style diet, can help control diabetes. It can also improve other heart disease risk factors such as obesity, cholesterol and blood pressure. Focus on eating nutritious foods that are low in fat and high in fiber, and aim to fill your plate with a colorful assortment of fruits and vegetables.?    Kick the habit.If you smoke, quit. Diabetes and smoking can cause your blood vessels to tighten. If you need help, ask about local smoking cessation programs and other support services. While you’re at it, try to limit alcohol, too. Alcohol is a hidden source of sugar, and drinking too much can make other conditions worse or more likely.?    Take all your medicine as prescribed.Use reminders or a pillbox if needed. Tell your health care team if you have trouble taking your medicine (for example, remembering to take doses, side effects, concerns about cost). Make sure you understand why you are taking each medicine, how it works and what to do if you miss a dose.?    Be your own championIt can be hard to learn that you have diabetes, but it’s important to advocate for yourself and commit to lifestyle changes. You also need to take charge of your health. Uncontrolled diabetes can lead to eye and kidney issues. It also affects blood flow and sensations in your feet and legs, making you more prone to having sores that don’t heal and could become infected. If you have leg pain or numbness, tell your health care provider. You will need annual eye and foot exams, as well as routine blood work and other tests. Add reminders to your calendar so you don’t miss these health visits.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766."
66. Do I need to try to lose weight? How much?,"People with type 2 diabetes are more likely to develop heart disease or have a stroke comparedwith those who don’t have diabetes—and at a younger age.Diabetes is among the strongest risk factors for heart and vascular disease. It’s right up there with smoking and having high blood pressure or high cholesterol.Having diabetes means you have too much sugar (also called glucose) in your blood. It can affect the way your heart works, and harm blood vessels. For example, the lining of the blood vessels may become thicker, which can impair blood flow. Many people have poor blood flow in their legs and feet, which can lead to numbness and weakness. Diabetes can damage other organs as well, including the kidneys.Diabetes and heart disease share many of the same risk factors, such as having high cholesterol, being overweight, not exercising and smoking.If you have diabetes, it doesn’t mean heart disease is bound to happen. In many cases, there are steps you can take to keep your diabetes in check and stay ahead of heart disease. But it’s not always easy. If you have or develop heart disease, then you will have to manage several conditions, which can seem daunting.Things you can change to be healthier—your weight, food choices and level of physical activity—are called “modifiable risk factors.” Understanding these factors and working to improve them can help you feel more in control of your health. Here are few tips:?    Set clear goals for controlling your diabetes and keeping tabs on your health.Work with your health care team to decide 1) what lifestyle changes you can reasonably make,2) if medicine or insulin is needed, 3) what your ideal level of blood sugar (also called blood glucose) should be, and 4) how to keep your cholesterol and blood pressure within a healthy range.?    Be sure all of your health care providers are on the same page.If you have diabetes, you probably see a number of specialists, including an endocrinologist, eyeand foot doctors, in addition to your primary care provider. Most people living with diabetes have other health problems that need to be managed as well.?    Check your blood sugar level regularly, based on your provider’s advice.The higher your blood sugar level, the higher your risk of heart disease. You and your health care provider should decide on your target A1C level; it may depend on your health conditions and age.?    Lose weight if neededShedding 10 to 20 pounds can make a big difference when it comes to lowering your blood sugar, cholesterol and/or blood pressure. Plus, as you lose weight, you likely will feel better and more able to stay active and make healthy food choices. Take the time to talk with your health care provider about what weight loss plan might help you safely lose weight and keep it off.?    Get MovingOur bodies are meant to move. Regular exercise can prevent diabetes and help control it. When you exercise, your blood glucose level goes down because your muscles use glucose.The trick is to find things to do you enjoy and make them a habit. Sometimes, adding a social element can help keep it fun. Try signing up for a dance or swim class, or joining a running club or an online group that helps you check in and be accountable.Getting 30 minutes of exercise at least five days a week often is advised. Talk with your health care provider about how to safely exercise more, especially before starting a new routine. Start slowly and commit to a certain number of days a week. If you can’t find 30-minute blocks of time, try to exercise for 10 minutes a few times a day. Remember, activities like cleaning the house and gardening also count. Exercise can lower blood sugar, and in some people, it can drop a lot, so keep your monitor and a snack available while exercising.?    Make healthy food choicesA healthy diet, such as a plant-based or Mediterranean-style diet, can help control diabetes. It can also improve other heart disease risk factors such as obesity, cholesterol and blood pressure. Focus on eating nutritious foods that are low in fat and high in fiber, and aim to fill your plate with a colorful assortment of fruits and vegetables.?    Kick the habit.If you smoke, quit. Diabetes and smoking can cause your blood vessels to tighten. If you need help, ask about local smoking cessation programs and other support services. While you’re at it, try to limit alcohol, too. Alcohol is a hidden source of sugar, and drinking too much can make other conditions worse or more likely.?    Take all your medicine as prescribed.Use reminders or a pillbox if needed. Tell your health care team if you have trouble taking your medicine (for example, remembering to take doses, side effects, concerns about cost). Make sure you understand why you are taking each medicine, how it works and what to do if you miss a dose.?    Be your own championIt can be hard to learn that you have diabetes, but it’s important to advocate for yourself and commit to lifestyle changes. You also need to take charge of your health. Uncontrolled diabetes can lead to eye and kidney issues. It also affects blood flow and sensations in your feet and legs, making you more prone to having sores that don’t heal and could become infected. If you have leg pain or numbness, tell your health care provider. You will need annual eye and foot exams, as well as routine blood work and other tests. Add reminders to your calendar so you don’t miss these health visits.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766."
67. Could medications help protect my heart?,"People with type 2 diabetes are more likely to develop heart disease or have a stroke comparedwith those who don’t have diabetes—and at a younger age.Diabetes is among the strongest risk factors for heart and vascular disease. It’s right up there with smoking and having high blood pressure or high cholesterol.Having diabetes means you have too much sugar (also called glucose) in your blood. It can affect the way your heart works, and harm blood vessels. For example, the lining of the blood vessels may become thicker, which can impair blood flow. Many people have poor blood flow in their legs and feet, which can lead to numbness and weakness. Diabetes can damage other organs as well, including the kidneys.Diabetes and heart disease share many of the same risk factors, such as having high cholesterol, being overweight, not exercising and smoking.If you have diabetes, it doesn’t mean heart disease is bound to happen. In many cases, there are steps you can take to keep your diabetes in check and stay ahead of heart disease. But it’s not always easy. If you have or develop heart disease, then you will have to manage several conditions, which can seem daunting.Things you can change to be healthier—your weight, food choices and level of physical activity—are called “modifiable risk factors.” Understanding these factors and working to improve them can help you feel more in control of your health. Here are few tips:?    Set clear goals for controlling your diabetes and keeping tabs on your health.Work with your health care team to decide 1) what lifestyle changes you can reasonably make,2) if medicine or insulin is needed, 3) what your ideal level of blood sugar (also called blood glucose) should be, and 4) how to keep your cholesterol and blood pressure within a healthy range.?    Be sure all of your health care providers are on the same page.If you have diabetes, you probably see a number of specialists, including an endocrinologist, eyeand foot doctors, in addition to your primary care provider. Most people living with diabetes have other health problems that need to be managed as well.?    Check your blood sugar level regularly, based on your provider’s advice.The higher your blood sugar level, the higher your risk of heart disease. You and your health care provider should decide on your target A1C level; it may depend on your health conditions and age.?    Lose weight if neededShedding 10 to 20 pounds can make a big difference when it comes to lowering your blood sugar, cholesterol and/or blood pressure. Plus, as you lose weight, you likely will feel better and more able to stay active and make healthy food choices. Take the time to talk with your health care provider about what weight loss plan might help you safely lose weight and keep it off.?    Get MovingOur bodies are meant to move. Regular exercise can prevent diabetes and help control it. When you exercise, your blood glucose level goes down because your muscles use glucose.The trick is to find things to do you enjoy and make them a habit. Sometimes, adding a social element can help keep it fun. Try signing up for a dance or swim class, or joining a running club or an online group that helps you check in and be accountable.Getting 30 minutes of exercise at least five days a week often is advised. Talk with your health care provider about how to safely exercise more, especially before starting a new routine. Start slowly and commit to a certain number of days a week. If you can’t find 30-minute blocks of time, try to exercise for 10 minutes a few times a day. Remember, activities like cleaning the house and gardening also count. Exercise can lower blood sugar, and in some people, it can drop a lot, so keep your monitor and a snack available while exercising.?    Make healthy food choicesA healthy diet, such as a plant-based or Mediterranean-style diet, can help control diabetes. It can also improve other heart disease risk factors such as obesity, cholesterol and blood pressure. Focus on eating nutritious foods that are low in fat and high in fiber, and aim to fill your plate with a colorful assortment of fruits and vegetables.?    Kick the habit.If you smoke, quit. Diabetes and smoking can cause your blood vessels to tighten. If you need help, ask about local smoking cessation programs and other support services. While you’re at it, try to limit alcohol, too. Alcohol is a hidden source of sugar, and drinking too much can make other conditions worse or more likely.?    Take all your medicine as prescribed.Use reminders or a pillbox if needed. Tell your health care team if you have trouble taking your medicine (for example, remembering to take doses, side effects, concerns about cost). Make sure you understand why you are taking each medicine, how it works and what to do if you miss a dose.?    Be your own championIt can be hard to learn that you have diabetes, but it’s important to advocate for yourself and commit to lifestyle changes. You also need to take charge of your health. Uncontrolled diabetes can lead to eye and kidney issues. It also affects blood flow and sensations in your feet and legs, making you more prone to having sores that don’t heal and could become infected. If you have leg pain or numbness, tell your health care provider. You will need annual eye and foot exams, as well as routine blood work and other tests. Add reminders to your calendar so you don’t miss these health visits.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766."
68. How often should my heart health be checked? What tests would you recommend?,"People with type 2 diabetes are more likely to develop heart disease or have a stroke comparedwith those who don’t have diabetes—and at a younger age.Diabetes is among the strongest risk factors for heart and vascular disease. It’s right up there with smoking and having high blood pressure or high cholesterol.Having diabetes means you have too much sugar (also called glucose) in your blood. It can affect the way your heart works, and harm blood vessels. For example, the lining of the blood vessels may become thicker, which can impair blood flow. Many people have poor blood flow in their legs and feet, which can lead to numbness and weakness. Diabetes can damage other organs as well, including the kidneys.Diabetes and heart disease share many of the same risk factors, such as having high cholesterol, being overweight, not exercising and smoking.If you have diabetes, it doesn’t mean heart disease is bound to happen. In many cases, there are steps you can take to keep your diabetes in check and stay ahead of heart disease. But it’s not always easy. If you have or develop heart disease, then you will have to manage several conditions, which can seem daunting.Things you can change to be healthier—your weight, food choices and level of physical activity—are called “modifiable risk factors.” Understanding these factors and working to improve them can help you feel more in control of your health. Here are few tips:?    Set clear goals for controlling your diabetes and keeping tabs on your health.Work with your health care team to decide 1) what lifestyle changes you can reasonably make,2) if medicine or insulin is needed, 3) what your ideal level of blood sugar (also called blood glucose) should be, and 4) how to keep your cholesterol and blood pressure within a healthy range.?    Be sure all of your health care providers are on the same page.If you have diabetes, you probably see a number of specialists, including an endocrinologist, eyeand foot doctors, in addition to your primary care provider. Most people living with diabetes have other health problems that need to be managed as well.?    Check your blood sugar level regularly, based on your provider’s advice.The higher your blood sugar level, the higher your risk of heart disease. You and your health care provider should decide on your target A1C level; it may depend on your health conditions and age.?    Lose weight if neededShedding 10 to 20 pounds can make a big difference when it comes to lowering your blood sugar, cholesterol and/or blood pressure. Plus, as you lose weight, you likely will feel better and more able to stay active and make healthy food choices. Take the time to talk with your health care provider about what weight loss plan might help you safely lose weight and keep it off.?    Get MovingOur bodies are meant to move. Regular exercise can prevent diabetes and help control it. When you exercise, your blood glucose level goes down because your muscles use glucose.The trick is to find things to do you enjoy and make them a habit. Sometimes, adding a social element can help keep it fun. Try signing up for a dance or swim class, or joining a running club or an online group that helps you check in and be accountable.Getting 30 minutes of exercise at least five days a week often is advised. Talk with your health care provider about how to safely exercise more, especially before starting a new routine. Start slowly and commit to a certain number of days a week. If you can’t find 30-minute blocks of time, try to exercise for 10 minutes a few times a day. Remember, activities like cleaning the house and gardening also count. Exercise can lower blood sugar, and in some people, it can drop a lot, so keep your monitor and a snack available while exercising.?    Make healthy food choicesA healthy diet, such as a plant-based or Mediterranean-style diet, can help control diabetes. It can also improve other heart disease risk factors such as obesity, cholesterol and blood pressure. Focus on eating nutritious foods that are low in fat and high in fiber, and aim to fill your plate with a colorful assortment of fruits and vegetables.?    Kick the habit.If you smoke, quit. Diabetes and smoking can cause your blood vessels to tighten. If you need help, ask about local smoking cessation programs and other support services. While you’re at it, try to limit alcohol, too. Alcohol is a hidden source of sugar, and drinking too much can make other conditions worse or more likely.?    Take all your medicine as prescribed.Use reminders or a pillbox if needed. Tell your health care team if you have trouble taking your medicine (for example, remembering to take doses, side effects, concerns about cost). Make sure you understand why you are taking each medicine, how it works and what to do if you miss a dose.?    Be your own championIt can be hard to learn that you have diabetes, but it’s important to advocate for yourself and commit to lifestyle changes. You also need to take charge of your health. Uncontrolled diabetes can lead to eye and kidney issues. It also affects blood flow and sensations in your feet and legs, making you more prone to having sores that don’t heal and could become infected. If you have leg pain or numbness, tell your health care provider. You will need annual eye and foot exams, as well as routine blood work and other tests. Add reminders to your calendar so you don’t miss these health visits.To get to know more information about your current medications, Speak to our healthcare team and make a free call now on 0800-66766."
69. Why does nutrition matter?,"What you eat affects the amount of glucose (sugar) in your blood. When you have diabetes, your body either doesn't make enough of the hormone (insulin) that helps keep blood sugar in check or can't use it as well as it should. Because of this, your body can wind up with too much glucose, which leads to health problems.One of the most common health problems people with diabetes face is heart disease. Adults with diabetes are nearly twice as likely to die from heart disease or stroke as people without diabetes. Today, managing diabetes is just as much about managing your risk of developing heart troubles—or preventing problems if you already have heart disease.Proper nutrition and healthy eating can help. Think of your food as a central part of your routine to keep your body running well, just like any medications you take. The pillars of diabetes care include:?    Eating a healthy diet?    Exercising regularly?    Watching your blood sugar levels?    Taking your medications (if needed) Your nutritionist can guide you better."
70. Will I benefit if I talk to a nutritionist?,"One of the most common health problems people with diabetes face is heart disease. Adults with diabetes are nearly twice as likely to die from heart disease or stroke as people without diabetes. Today, managing diabetes is just as much about managing your risk of developing heart troubles—or preventing problems if you already have heart disease.Proper nutrition and healthy eating can help. Think of your food as a central part of your routine to keep your body running well, just like any medications you take. The pillars of diabetes care include:?    Eating a healthy diet?    Exercising regularly?    Watching your blood sugar levels?    Taking your medications (if needed) Your nutritionist can guide you better.71. What happens when I overeat?"
71. What happens when I overeat?,"If you overeat or have too much fat or added sugar, then excess calories, fat and sugar maycause dangerous spikes in your blood sugar.Over time, complications may develop including heart disease, blindness, kidney failure and nerve problems."
72. Do I need to follow a special diet?,"Gone are the days of the one-size-fits-all, very restrictive ""diabetes diet,"" which focused on avoiding sugars altogether. Today, health care professionals recommend finding a healthy eating plan that fits your life.An eating plan helps to define the total calories you should consume and the amounts of different types of food—carbohydrates, protein, fats and so on—to include in your daily diet."
73. What kind of stress do people with diabetes face?,"A: People with diabetes face similar stressors as other people without diabetes, but due to their medical status they face additional challenges. Sources of stress can be both routine and nonroutine personal experiences as well as systemic issues of inequality, such as having to deal with racism within the healthcare system, inadequate health resources, or lack of access to basic food and shelter.People who have diabetes might also experience diabetes-related stress. This is a response to living with diabetes, which is a life-threatening illness that often requires chronic and intensive self-management and  awareness in regard to such things as medications and eating. Also, among people who have chronic illnesses such as diabetes, depression is more common, which is associated with poorer health outcomes."
74. I am a diabetic and I feel depressed. why?,"A: People with diabetes face similar stressors as other people without diabetes, but due to their medical status they face additional challenges. Sources of stress can be both routine and nonroutine personal experiences as well as systemic issues of inequality, such as having to deal with racism within the healthcare system, inadequate health resources, or lack of access to basic food and shelter.People who have diabetes might also experience diabetes-related stress. This is a response to living with diabetes, which is a life-threatening illness that often requires chronic and intensive self-management and  awareness in regard to such things as medications and eating. Also, among people who have chronic illnesses such as diabetes, depression is more common, which is associated with poorer health outcomes."
75. Can Diabetes cause depression?,"A: People with diabetes face similar stressors as other people without diabetes, but due to their medical status they face additional challenges. Sources of stress can be both routine and nonroutine personal experiences as well as systemic issues of inequality, such as having to deal with racism within the healthcare system, inadequate health resources, or lack of access to basic food and shelter.People who have diabetes might also experience diabetes-related stress. This is a response to living with diabetes, which is a life-threatening illness that often requires chronic and intensive self-management and  awareness in regard to such things as medications and eating. Also, among people who have chronic illnesses such as diabetes, depression is more common, which is associated with poorer health outcomes."
"A: People with diabetes face similar stressors as other people without diabetes, but due to their medical status they face additional challenges. Sources of stress can be both routine and nonroutine personal experiences as well as systemic issues of inequality, such as having to deal with racism within the healthcare system, inadequate health resources, or lack of access to basic food and shelter.",
